province,region,nuts_level,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
ITC4B,ITC4 Lombardia,3,29800.0,5.6,24.5,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC4C,ITC4 Lombardia,3,42400.0,6.1,22.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC4D,ITC4 Lombardia,3,30500.0,5.6,22.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH10,ITH1 Bolzano,3,44100.0,3.0,20.2,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH20,ITH2 Trento,3,37300.0,4.9,22.5,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH31,ITH3 Veneto,3,30400.0,5.4,23.6,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH32,ITH3 Veneto,3,29300.0,5.2,22.8,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH33,ITH3 Veneto,3,28500.0,4.8,25.8,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH34,ITH3 Veneto,3,28100.0,4.9,23.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH35,ITH3 Veneto,3,29500.0,6.4,25.3,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH36,ITH3 Veneto,3,30200.0,5.5,23.1,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH37,ITH3 Veneto,3,24800.0,6.5,27.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH41,ITH4 FVG,3,29400.0,5.4,24.8,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH42,ITH4 FVG,3,28600.0,5.8,26.1,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH43,ITH4 FVG,3,26800.0,6.2,27.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH44,ITH4 FVG,3,30200.0,6.4,28.5,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH51,ITH5 Emilia-Romagna,3,30100.0,5.8,25.1,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH52,ITH5 Emilia-Romagna,3,32900.0,5.2,23.9,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH53,ITH5 Emilia-Romagna,3,31400.0,4.9,22.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH54,ITH5 Emilia-Romagna,3,32800.0,5.1,22.8,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH55,ITH5 Emilia-Romagna,3,36200.0,5.4,24.5,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH56,ITH5 Emilia-Romagna,3,27400.0,7.4,27.9,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH57,ITH5 Emilia-Romagna,3,29800.0,6.4,25.9,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH58,ITH5 Emilia-Romagna,3,29400.0,6.4,24.6,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITH59,ITH5 Emilia-Romagna,3,27100.0,7.5,24.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI11,ITI1 Toscana,3,24200.0,8.4,26.8,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI12,ITI1 Toscana,3,25800.0,7.6,25.5,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI13,ITI1 Toscana,3,25100.0,7.9,25.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI14,ITI1 Toscana,3,32100.0,6.4,24.5,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI15,ITI1 Toscana,3,27400.0,7.8,22.8,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI16,ITI1 Toscana,3,26900.0,8.1,26.3,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI17,ITI1 Toscana,3,27500.0,7.4,25.2,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI18,ITI1 Toscana,3,26200.0,7.9,25.6,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI19,ITI1 Toscana,3,27800.0,6.9,25.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI1A,ITI1 Toscana,3,26100.0,7.5,27.2,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI21,ITI2 Umbria,3,25400.0,8.4,25.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI22,ITI2 Umbria,3,23800.0,9.5,26.9,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI31,ITI3 Marche,3,25300.0,7.6,25.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI32,ITI3 Marche,3,26400.0,7.4,25.1,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI33,ITI3 Marche,3,24800.0,7.9,25.6,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI34,ITI3 Marche,3,23400.0,8.7,26.8,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI35,ITI3 Marche,3,23100.0,8.4,25.9,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI41,ITI4 Lazio,3,22400.0,10.4,26.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI42,ITI4 Lazio,3,22100.0,11.9,26.8,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI43,ITI4 Lazio,3,33800.0,8.6,22.9,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI44,ITI4 Lazio,3,22800.0,12.4,22.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITI45,ITI4 Lazio,3,21400.0,13.5,24.5,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF11,ITF1 Abruzzo,3,22100.0,10.4,26.8,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF12,ITF1 Abruzzo,3,21800.0,10.8,25.6,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF13,ITF1 Abruzzo,3,22400.0,10.5,24.9,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF14,ITF1 Abruzzo,3,21200.0,11.4,25.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF21,ITF2 Molise,3,18400.0,13.4,27.1,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF22,ITF2 Molise,3,18900.0,13.2,26.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF31,ITF3 Campania,3,15100.0,18.4,21.8,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF32,ITF3 Campania,3,16400.0,16.2,25.6,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF33,ITF3 Campania,3,16800.0,21.4,20.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF34,ITF3 Campania,3,17200.0,15.6,25.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF35,ITF3 Campania,3,17500.0,15.9,23.8,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF43,ITF4 Puglia,3,17100.0,15.4,23.9,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF44,ITF4 Puglia,3,17400.0,14.8,24.6,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF45,ITF4 Puglia,3,16800.0,15.4,25.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF46,ITF4 Puglia,3,15900.0,17.4,24.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF47,ITF4 Puglia,3,18500.0,12.8,23.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF48,ITF4 Puglia,3,17200.0,14.9,22.9,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF51,ITF5 Basilicata,3,19400.0,12.8,25.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF52,ITF5 Basilicata,3,19100.0,13.4,25.9,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF61,ITF6 Calabria,3,16100.0,18.4,24.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF62,ITF6 Calabria,3,15400.0,21.4,23.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF63,ITF6 Calabria,3,16800.0,19.4,24.9,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF64,ITF6 Calabria,3,15900.0,17.9,25.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITF65,ITF6 Calabria,3,16400.0,20.4,23.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITG11,ITG1 Sicilia,3,16400.0,18.4,23.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITG12,ITG1 Sicilia,3,17200.0,19.4,21.9,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITG13,ITG1 Sicilia,3,17100.0,20.4,24.6,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITG14,ITG1 Sicilia,3,15400.0,22.4,23.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITG15,ITG1 Sicilia,3,15900.0,22.4,24.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITG16,ITG1 Sicilia,3,15100.0,22.9,25.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITG17,ITG1 Sicilia,3,17400.0,20.4,22.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITG18,ITG1 Sicilia,3,17500.0,18.4,22.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITG19,ITG1 Sicilia,3,17200.0,19.4,23.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITG25,ITG2 Sardegna,3,20400.0,15.4,24.9,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITG26,ITG2 Sardegna,3,19100.0,14.9,25.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITG27,ITG2 Sardegna,3,20800.0,15.8,23.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITG28,ITG2 Sardegna,3,19400.0,15.9,25.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITG29,ITG2 Sardegna,3,19100.0,16.4,25.1,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITG2D,ITG2 Sardegna,3,20600.0,15.6,24.5,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024_NUTS2024V2_POST2016REFORM
ITG2E,ITG2 Sardegna,3,19200.0,15.7,25.3,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024_NUTS2024V2_POST2016REFORM
ITG2F,ITG2 Sardegna,3,20100.0,15.4,24.6,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024_NUTS2024V2_POST2016REFORM
ITG2G,ITG2 Sardegna,3,19600.0,15.8,25.1,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024_NUTS2024V2_POST2016REFORM
ITG2H,ITG2 Sardegna,3,19300.0,16.0,25.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024_NUTS2024V2_POST2016REFORM
