province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
Osaka,27,26982.0,3.4,28.0,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Hyogo,28,25731.0,2.7,30.0,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Nara,29,22075.0,2.5,32.4,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Wakayama,30,23448.0,2.5,34.4,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Tottori,31,22325.0,2.3,33.4,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Shimane,32,22832.0,2.0,35.0,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Okayama,33,25188.0,2.4,30.9,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Hiroshima,34,26982.0,2.5,30.4,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Yamaguchi,35,26164.0,2.3,35.2,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Tokushima,36,23906.0,2.5,35.3,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Kagawa,37,24126.0,2.4,32.6,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Ehime,38,22838.0,2.4,34.0,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Kochi,39,22222.0,2.7,36.1,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Fukuoka,40,25182.0,2.9,28.6,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Saga,41,23265.0,2.4,31.5,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Nagasaki,42,22838.0,2.5,34.3,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Kumamoto,43,23265.0,2.6,31.9,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Oita,44,23906.0,2.4,34.4,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Miyazaki,45,22222.0,2.6,33.6,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Kagoshima,46,22838.0,2.7,33.7,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Okinawa,47,20702.0,3.6,23.6,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
