province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
New Mexico,NM,58722.0,6.14,18.11,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
New York,NY,81386.0,6.21,17.02,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
North Carolina,NC,66186.0,4.98,16.69,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
North Dakota,ND,73959.0,2.88,15.86,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Ohio,OH,66990.0,5.0,17.57,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Oklahoma,OK,61364.0,4.82,15.94,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Oregon,OR,76632.0,5.52,18.28,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Pennsylvania,PA,73170.0,5.36,18.74,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Rhode Island,RI,81370.0,5.84,17.85,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
South Carolina,SC,63623.0,5.09,18.25,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
South Dakota,SD,69457.0,3.09,17.29,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Tennessee,TN,64035.0,5.01,16.69,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Texas,TX,73035.0,5.18,12.89,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Utah,UT,86833.0,3.34,11.4,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Vermont,VT,74014.0,3.83,20.31,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Virginia,VA,87249.0,4.31,16.01,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Washington,WA,90325.0,4.91,15.98,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
West Virginia,WV,55217.0,6.04,20.44,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Wisconsin,WI,72458.0,3.36,17.66,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Wyoming,WY,72495.0,3.78,17.46,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Puerto Rico,PR,24002.0,13.25,22.09,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
