lat,lon,delta_t_c,delta_heat_pct,delta_ice_pct,delta_wind_pct
48.3,11.4,1.0,0.0172,-0.0115,0.05
48.3,11.9,1.0,0.0172,-0.0115,0.05
48.3,12.4,1.0,0.0172,-0.0115,0.05
48.3,12.9,1.0,0.0172,-0.0115,0.05
48.3,13.4,1.0,0.0172,-0.0115,0.05
48.3,13.9,1.0,0.0172,-0.0115,0.05
48.3,14.4,1.0,0.0172,-0.0115,0.05
48.3,14.9,1.0,0.0172,-0.0115,0.05
48.3,15.4,1.0,0.0172,-0.0115,0.05
48.8,5.9,1.0,0.0172,-0.0115,0.05
48.8,6.4,1.0,0.0172,-0.0115,0.05
48.8,6.9,1.0,0.0172,-0.0115,0.05
48.8,7.4,1.0,0.0172,-0.0115,0.05
48.8,7.9,1.0,0.0172,-0.0115,0.05
48.8,8.4,1.0,0.0172,-0.0115,0.05
48.8,8.9,1.0,0.0172,-0.0115,0.05
48.8,9.4,1.0,0.0172,-0.0115,0.05
48.8,9.9,1.0,0.0172,-0.0115,0.05
48.8,10.4,1.0,0.0172,-0.0115,0.05
48.8,10.9,1.0,0.0172,-0.0115,0.05
48.8,11.4,1.0,0.0172,-0.0115,0.05
48.8,11.9,1.0,0.0172,-0.0115,0.05
48.8,12.4,1.0,0.0172,-0.0115,0.05
48.8,12.9,1.0,0.0172,-0.0115,0.05
48.8,13.4,1.0,0.0172,-0.0115,0.05
48.8,13.9,1.0,0.0172,-0.0115,0.05
48.8,14.4,1.0,0.0172,-0.0115,0.05
48.8,14.9,1.0,0.0172,-0.0115,0.05
48.8,15.4,1.0,0.0172,-0.0115,0.05
49.3,5.9,1.0,0.0172,-0.0115,0.05
49.3,6.4,1.0,0.0172,-0.0115,0.05
49.3,6.9,1.0,0.0172,-0.0115,0.05
49.3,7.4,1.0,0.0172,-0.0115,0.05
49.3,7.9,1.0,0.0172,-0.0115,0.05
49.3,8.4,1.0,0.0172,-0.0115,0.05
49.3,8.9,1.0,0.0172,-0.0115,0.05
49.3,9.4,1.0,0.0172,-0.0115,0.05
49.3,9.9,1.0,0.0172,-0.0115,0.05
49.3,10.4,1.0,0.0172,-0.0115,0.05
49.3,10.9,1.0,0.0172,-0.0115,0.05
49.3,11.4,1.0,0.0172,-0.0115,0.05
49.3,11.9,1.0,0.0172,-0.0115,0.05
49.3,12.4,1.0,0.0172,-0.0115,0.05
49.3,12.9,1.0,0.0172,-0.0115,0.05
49.3,13.4,1.0,0.0172,-0.0115,0.05
49.3,13.9,1.0,0.0172,-0.0115,0.05
49.3,14.4,1.0,0.0172,-0.0115,0.05
49.3,14.9,1.0,0.0172,-0.0115,0.05
49.3,15.4,1.0,0.0172,-0.0115,0.05
49.8,5.9,1.0,0.0172,-0.0115,0.05
49.8,6.4,1.0,0.0172,-0.0115,0.05
49.8,6.9,1.0,0.0172,-0.0115,0.05
49.8,7.4,1.0,0.0172,-0.0115,0.05
49.8,7.9,1.0,0.0172,-0.0115,0.05
49.8,8.4,1.0,0.0172,-0.0115,0.05
49.8,8.9,1.0,0.0172,-0.0115,0.05
49.8,9.4,1.0,0.0172,-0.0115,0.05
49.8,9.9,1.0,0.0172,-0.0115,0.05
49.8,10.4,1.0,0.0172,-0.0115,0.05
49.8,10.9,1.0,0.0172,-0.0115,0.05
49.8,11.4,1.0,0.0172,-0.0115,0.05
49.8,11.9,1.0,0.0172,-0.0115,0.05
49.8,12.4,1.0,0.0172,-0.0115,0.05
49.8,12.9,1.0,0.0172,-0.0115,0.05
49.8,13.4,1.0,0.0172,-0.0115,0.05
49.8,13.9,1.0,0.0172,-0.0115,0.05
49.8,14.4,1.0,0.0172,-0.0115,0.05
49.8,14.9,1.0,0.0172,-0.0115,0.05
49.8,15.4,1.0,0.0172,-0.0115,0.05
50.3,5.9,1.0,0.0172,-0.0115,0.05
50.3,6.4,1.0,0.0172,-0.0115,0.05
50.3,6.9,1.0,0.0172,-0.0115,0.05
50.3,7.4,1.0,0.0172,-0.0115,0.05
50.3,7.9,1.0,0.0172,-0.0115,0.05
50.3,8.4,1.0,0.0172,-0.0115,0.05
50.3,8.9,1.0,0.0172,-0.0115,0.05
50.3,9.4,1.0,0.0172,-0.0115,0.05
50.3,9.9,1.0,0.0172,-0.0115,0.05
50.3,10.4,1.0,0.0172,-0.0115,0.05
50.3,10.9,1.0,0.0172,-0.0115,0.05
50.3,11.4,1.0,0.0172,-0.0115,0.05
50.3,11.9,1.0,0.0172,-0.0115,0.05
50.3,12.4,1.0,0.0172,-0.0115,0.05
50.3,12.9,1.0,0.0172,-0.0115,0.05
50.3,13.4,1.0,0.0172,-0.0115,0.05
50.3,13.9,1.0,0.0172,-0.0115,0.05
50.3,14.4,1.0,0.0172,-0.0115,0.05
50.3,14.9,1.0,0.0172,-0.0115,0.05
50.3,15.4,1.0,0.0172,-0.0115,0.05
50.8,5.9,1.0,0.0172,-0.0115,0.05
50.8,6.4,1.0,0.0172,-0.0115,0.05
50.8,6.9,1.0,0.0172,-0.0115,0.05
50.8,7.4,1.0,0.0172,-0.0115,0.05
50.8,7.9,1.0,0.0172,-0.0115,0.05
50.8,8.4,1.0,0.0172,-0.0115,0.05
50.8,8.9,1.0,0.0172,-0.0115,0.05
50.8,9.4,1.0,0.0172,-0.0115,0.05
50.8,9.9,1.0,0.0172,-0.0115,0.05
50.8,10.4,1.0,0.0172,-0.0115,0.05
50.8,10.9,1.0,0.0172,-0.0115,0.05
50.8,11.4,1.0,0.0172,-0.0115,0.05
50.8,11.9,1.0,0.0172,-0.0115,0.05
50.8,12.4,1.0,0.0172,-0.0115,0.05
50.8,12.9,1.0,0.0172,-0.0115,0.05
50.8,13.4,1.0,0.0172,-0.0115,0.05
50.8,13.9,1.0,0.0172,-0.0115,0.05
50.8,14.4,1.0,0.0172,-0.0115,0.05
50.8,14.9,1.0,0.0172,-0.0115,0.05
50.8,15.4,1.0,0.0172,-0.0115,0.05
51.3,5.9,1.0,0.0172,-0.0115,0.05
51.3,6.4,1.0,0.0172,-0.0115,0.05
51.3,6.9,1.0,0.0172,-0.0115,0.05
51.3,7.4,1.0,0.0172,-0.0115,0.05
51.3,7.9,1.0,0.0172,-0.0115,0.05
51.3,8.4,1.0,0.0172,-0.0115,0.05
51.3,8.9,1.0,0.0172,-0.0115,0.05
51.3,9.4,1.0,0.0172,-0.0115,0.05
51.3,9.9,1.0,0.0172,-0.0115,0.05
51.3,10.4,1.0,0.0172,-0.0115,0.05
51.3,10.9,1.0,0.0172,-0.0115,0.05
51.3,11.4,1.0,0.0172,-0.0115,0.05
51.3,11.9,1.0,0.0172,-0.0115,0.05
51.3,12.4,1.0,0.0172,-0.0115,0.05
51.3,12.9,1.0,0.0172,-0.0115,0.05
51.3,13.4,1.0,0.0172,-0.0115,0.05
51.3,13.9,1.0,0.0172,-0.0115,0.05
51.3,14.4,1.0,0.0172,-0.0115,0.05
51.3,14.9,1.0,0.0172,-0.0115,0.05
51.3,15.4,1.0,0.0172,-0.0115,0.05
51.8,5.9,1.0,0.0172,-0.0115,0.05
51.8,6.4,1.0,0.0172,-0.0115,0.05
51.8,6.9,1.0,0.0172,-0.0115,0.05
51.8,7.4,1.0,0.0172,-0.0115,0.05
51.8,7.9,1.0,0.0172,-0.0115,0.05
51.8,8.4,1.0,0.0172,-0.0115,0.05
51.8,8.9,1.0,0.0172,-0.0115,0.05
51.8,9.4,1.0,0.0172,-0.0115,0.05
51.8,9.9,1.0,0.0172,-0.0115,0.05
51.8,10.4,1.0,0.0172,-0.0115,0.05
51.8,10.9,1.0,0.0172,-0.0115,0.05
51.8,11.4,1.0,0.0172,-0.0115,0.05
51.8,11.9,1.0,0.0172,-0.0115,0.05
51.8,12.4,1.0,0.0172,-0.0115,0.05
51.8,12.9,1.0,0.0172,-0.0115,0.05
51.8,13.4,1.0,0.0172,-0.0115,0.05
51.8,13.9,1.0,0.0172,-0.0115,0.05
51.8,14.4,1.0,0.0172,-0.0115,0.05
51.8,14.9,1.0,0.0172,-0.0115,0.05
51.8,15.4,1.0,0.0172,-0.0115,0.05
52.3,5.9,1.0,0.0172,-0.0115,0.05
52.3,6.4,1.0,0.0172,-0.0115,0.05
52.3,6.9,1.0,0.0172,-0.0115,0.05
52.3,7.4,1.0,0.0172,-0.0115,0.05
52.3,7.9,1.0,0.0172,-0.0115,0.05
52.3,8.4,1.0,0.0172,-0.0115,0.05
52.3,8.9,1.0,0.0172,-0.0115,0.05
52.3,9.4,1.0,0.0172,-0.0115,0.05
52.3,9.9,1.0,0.0172,-0.0115,0.05
52.3,10.4,1.0,0.0172,-0.0115,0.05
52.3,10.9,1.0,0.0172,-0.0115,0.05
52.3,11.4,1.0,0.0172,-0.0115,0.05
52.3,11.9,1.0,0.0172,-0.0115,0.05
52.3,12.4,1.0,0.0172,-0.0115,0.05
52.3,12.9,1.0,0.0172,-0.0115,0.05
52.3,13.4,1.0,0.0172,-0.0115,0.05
52.3,13.9,1.0,0.0172,-0.0115,0.05
52.3,14.4,1.0,0.0172,-0.0115,0.05
52.3,14.9,1.0,0.0172,-0.0115,0.05
52.3,15.4,1.0,0.0172,-0.0115,0.05
52.8,5.9,1.0,0.0172,-0.0115,0.05
52.8,6.4,1.0,0.0172,-0.0115,0.05
52.8,6.9,1.0,0.0172,-0.0115,0.05
52.8,7.4,1.0,0.0172,-0.0115,0.05
52.8,7.9,1.0,0.0172,-0.0115,0.05
52.8,8.4,1.0,0.0172,-0.0115,0.05
52.8,8.9,1.0,0.0172,-0.0115,0.05
52.8,9.4,1.0,0.0172,-0.0115,0.05
52.8,9.9,1.0,0.0172,-0.0115,0.05
52.8,10.4,1.0,0.0172,-0.0115,0.05
52.8,10.9,1.0,0.0172,-0.0115,0.05
52.8,11.4,1.0,0.0172,-0.0115,0.05
52.8,11.9,1.0,0.0172,-0.0115,0.05
52.8,12.4,1.0,0.0172,-0.0115,0.05
52.8,12.9,1.0,0.0172,-0.0115,0.05
52.8,13.4,1.0,0.0172,-0.0115,0.05
52.8,13.9,1.0,0.0172,-0.0115,0.05
52.8,14.4,1.0,0.0172,-0.0115,0.05
52.8,14.9,1.0,0.0172,-0.0115,0.05
52.8,15.4,1.0,0.0172,-0.0115,0.05
53.3,5.9,1.0,0.0172,-0.0115,0.05
53.3,6.4,1.0,0.0172,-0.0115,0.05
53.3,6.9,1.0,0.0172,-0.0115,0.05
53.3,7.4,1.0,0.0172,-0.0115,0.05
53.3,7.9,1.0,0.0172,-0.0115,0.05
53.3,8.4,1.0,0.0172,-0.0115,0.05
53.3,8.9,1.0,0.0172,-0.0115,0.05
53.3,9.4,1.0,0.0172,-0.0115,0.05
53.3,9.9,1.0,0.0172,-0.0115,0.05
53.3,10.4,1.0,0.0172,-0.0115,0.05
53.3,10.9,1.0,0.0172,-0.0115,0.05
53.3,11.4,1.0,0.0172,-0.0115,0.05
53.3,11.9,1.0,0.0172,-0.0115,0.05
53.3,12.4,1.0,0.0172,-0.0115,0.05
53.3,12.9,1.0,0.0172,-0.0115,0.05
53.3,13.4,1.0,0.0172,-0.0115,0.05
53.3,13.9,1.0,0.0172,-0.0115,0.05
53.3,14.4,1.0,0.0172,-0.0115,0.05
53.3,14.9,1.0,0.0172,-0.0115,0.05
53.3,15.4,1.0,0.0172,-0.0115,0.05
53.8,5.9,1.0,0.0172,-0.0115,0.05
53.8,6.4,1.0,0.0172,-0.0115,0.05
53.8,6.9,1.0,0.0172,-0.0115,0.05
53.8,7.4,1.0,0.0172,-0.0115,0.05
53.8,7.9,1.0,0.0172,-0.0115,0.05
53.8,8.4,1.0,0.0172,-0.0115,0.05
53.8,8.9,1.0,0.0172,-0.0115,0.05
53.8,9.4,1.0,0.0172,-0.0115,0.05
53.8,9.9,1.0,0.0172,-0.0115,0.05
53.8,10.4,1.0,0.0172,-0.0115,0.05
53.8,10.9,1.0,0.0172,-0.0115,0.05
53.8,11.4,1.0,0.0172,-0.0115,0.05
53.8,11.9,1.0,0.0172,-0.0115,0.05
53.8,12.4,1.0,0.0172,-0.0115,0.05
53.8,12.9,1.0,0.0172,-0.0115,0.05
53.8,13.4,1.0,0.0172,-0.0115,0.05
53.8,13.9,1.0,0.0172,-0.0115,0.05
53.8,14.4,1.0,0.0172,-0.0115,0.05
53.8,14.9,1.0,0.0172,-0.0115,0.05
53.8,15.4,1.0,0.0172,-0.0115,0.05
54.3,5.9,1.0,0.0172,-0.0115,0.05
54.3,6.4,1.0,0.0172,-0.0115,0.05
54.3,6.9,1.0,0.0172,-0.0115,0.05
54.3,7.4,1.0,0.0172,-0.0115,0.05
54.3,7.9,1.0,0.0172,-0.0115,0.05
54.3,8.4,1.0,0.0172,-0.0115,0.05
54.3,8.9,1.0,0.0172,-0.0115,0.05
54.3,9.4,1.0,0.0172,-0.0115,0.05
54.3,9.9,1.0,0.0172,-0.0115,0.05
54.3,10.4,1.0,0.0172,-0.0115,0.05
54.3,10.9,1.0,0.0172,-0.0115,0.05
54.3,11.4,1.0,0.0172,-0.0115,0.05
54.3,11.9,1.0,0.0172,-0.0115,0.05
54.3,12.4,1.0,0.0172,-0.0115,0.05
54.3,12.9,1.0,0.0172,-0.0115,0.05
54.3,13.4,1.0,0.0172,-0.0115,0.05
54.3,13.9,1.0,0.0172,-0.0115,0.05
54.3,14.4,1.0,0.0172,-0.0115,0.05
54.3,14.9,1.0,0.0172,-0.0115,0.05
54.3,15.4,1.0,0.0172,-0.0115,0.05
54.8,5.9,1.0,0.0172,-0.0115,0.05
54.8,6.4,1.0,0.0172,-0.0115,0.05
54.8,6.9,1.0,0.0172,-0.0115,0.05
54.8,7.4,1.0,0.0172,-0.0115,0.05
54.8,7.9,1.0,0.0172,-0.0115,0.05
54.8,8.4,1.0,0.0172,-0.0115,0.05
54.8,8.9,1.0,0.0172,-0.0115,0.05
54.8,9.4,1.0,0.0172,-0.0115,0.05
54.8,9.9,1.0,0.0172,-0.0115,0.05
54.8,10.4,1.0,0.0172,-0.0115,0.05
54.8,10.9,1.0,0.0172,-0.0115,0.05
54.8,11.4,1.0,0.0172,-0.0115,0.05
54.8,11.9,1.0,0.0172,-0.0115,0.05
54.8,12.4,1.0,0.0172,-0.0115,0.05
54.8,12.9,1.0,0.0172,-0.0115,0.05
54.8,13.4,1.0,0.0172,-0.0115,0.05
54.8,13.9,1.0,0.0172,-0.0115,0.05
54.8,14.4,1.0,0.0172,-0.0115,0.05
54.8,14.9,1.0,0.0172,-0.0115,0.05
54.8,15.4,1.0,0.0172,-0.0115,0.05
55.3,5.9,1.0,0.0172,-0.0115,0.05
55.3,6.4,1.0,0.0172,-0.0115,0.05
55.3,6.9,1.0,0.0172,-0.0115,0.05
55.3,7.4,1.0,0.0172,-0.0115,0.05
55.3,7.9,1.0,0.0172,-0.0115,0.05
55.3,8.4,1.0,0.0172,-0.0115,0.05
55.3,8.9,1.0,0.0172,-0.0115,0.05
55.3,9.4,1.0,0.0172,-0.0115,0.05
55.3,9.9,1.0,0.0172,-0.0115,0.05
55.3,10.4,1.0,0.0172,-0.0115,0.05
55.3,10.9,1.0,0.0172,-0.0115,0.05
55.3,11.4,1.0,0.0172,-0.0115,0.05
55.3,11.9,1.0,0.0172,-0.0115,0.05
55.3,12.4,1.0,0.0172,-0.0115,0.05
55.3,12.9,1.0,0.0172,-0.0115,0.05
55.3,13.4,1.0,0.0172,-0.0115,0.05
55.3,13.9,1.0,0.0172,-0.0115,0.05
55.3,14.4,1.0,0.0172,-0.0115,0.05
55.3,14.9,1.0,0.0172,-0.0115,0.05
55.3,15.4,1.0,0.0172,-0.0115,0.05
41.3,-5.1,1.1,0.0189,-0.0126,0.05
41.3,-4.6,1.1,0.0189,-0.0126,0.05
41.3,-4.1,1.1,0.0189,-0.0126,0.05
41.3,-3.6,1.1,0.0189,-0.0126,0.05
41.3,-3.1,1.1,0.0189,-0.0126,0.05
41.3,-2.6,1.1,0.0189,-0.0126,0.05
41.3,-2.1,1.1,0.0189,-0.0126,0.05
41.3,-1.6,1.1,0.0189,-0.0126,0.05
41.3,-1.1,1.1,0.0189,-0.0126,0.05
41.3,-0.6,1.1,0.0189,-0.0126,0.05
41.3,-0.1,1.1,0.0189,-0.0126,0.05
41.3,0.4,1.1,0.0189,-0.0126,0.05
41.3,0.9,1.1,0.0189,-0.0126,0.05
41.3,1.4,1.1,0.0189,-0.0126,0.05
41.3,1.9,1.1,0.0189,-0.0126,0.05
41.3,2.4,1.1,0.0189,-0.0126,0.05
41.3,2.9,1.1,0.0189,-0.0126,0.05
41.3,3.4,1.1,0.0189,-0.0126,0.05
41.3,3.9,1.1,0.0189,-0.0126,0.05
41.3,4.4,1.1,0.0189,-0.0126,0.05
41.3,4.9,1.1,0.0189,-0.0126,0.05
41.3,5.4,1.1,0.0189,-0.0126,0.05
41.3,5.9,1.1,0.0189,-0.0126,0.05
41.3,6.4,1.1,0.0189,-0.0126,0.05
41.3,6.9,1.1,0.0189,-0.0126,0.05
41.3,7.4,1.1,0.0189,-0.0126,0.05
41.3,7.9,1.1,0.0189,-0.0126,0.05
41.3,8.4,1.1,0.0189,-0.0126,0.05
41.3,8.9,1.1,0.0189,-0.0126,0.05
41.3,9.4,1.1,0.0189,-0.0126,0.05
41.3,9.9,1.1,0.0189,-0.0126,0.05
41.8,-5.1,1.1,0.0189,-0.0126,0.05
41.8,-4.6,1.1,0.0189,-0.0126,0.05
41.8,-4.1,1.1,0.0189,-0.0126,0.05
41.8,-3.6,1.1,0.0189,-0.0126,0.05
41.8,-3.1,1.1,0.0189,-0.0126,0.05
41.8,-2.6,1.1,0.0189,-0.0126,0.05
41.8,-2.1,1.1,0.0189,-0.0126,0.05
41.8,-1.6,1.1,0.0189,-0.0126,0.05
41.8,-1.1,1.1,0.0189,-0.0126,0.05
41.8,-0.6,1.1,0.0189,-0.0126,0.05
41.8,-0.1,1.1,0.0189,-0.0126,0.05
41.8,0.4,1.1,0.0189,-0.0126,0.05
41.8,0.9,1.1,0.0189,-0.0126,0.05
41.8,1.4,1.1,0.0189,-0.0126,0.05
41.8,1.9,1.1,0.0189,-0.0126,0.05
41.8,2.4,1.1,0.0189,-0.0126,0.05
41.8,2.9,1.1,0.0189,-0.0126,0.05
41.8,3.4,1.1,0.0189,-0.0126,0.05
41.8,3.9,1.1,0.0189,-0.0126,0.05
41.8,4.4,1.1,0.0189,-0.0126,0.05
41.8,4.9,1.1,0.0189,-0.0126,0.05
41.8,5.4,1.1,0.0189,-0.0126,0.05
41.8,5.9,1.1,0.0189,-0.0126,0.05
41.8,6.4,1.1,0.0189,-0.0126,0.05
41.8,6.9,1.1,0.0189,-0.0126,0.05
41.8,7.4,1.1,0.0189,-0.0126,0.05
41.8,7.9,1.1,0.0189,-0.0126,0.05
41.8,8.4,1.1,0.0189,-0.0126,0.05
41.8,8.9,1.1,0.0189,-0.0126,0.05
41.8,9.4,1.1,0.0189,-0.0126,0.05
41.8,9.9,1.1,0.0189,-0.0126,0.05
42.3,-5.1,1.1,0.0189,-0.0126,0.05
42.3,-4.6,1.1,0.0189,-0.0126,0.05
42.3,-4.1,1.1,0.0189,-0.0126,0.05
42.3,-3.6,1.1,0.0189,-0.0126,0.05
42.3,-3.1,1.1,0.0189,-0.0126,0.05
42.3,-2.6,1.1,0.0189,-0.0126,0.05
42.3,-2.1,1.1,0.0189,-0.0126,0.05
42.3,-1.6,1.1,0.0189,-0.0126,0.05
42.3,-1.1,1.1,0.0189,-0.0126,0.05
42.3,-0.6,1.1,0.0189,-0.0126,0.05
42.3,-0.1,1.1,0.0189,-0.0126,0.05
42.3,0.4,1.1,0.0189,-0.0126,0.05
42.3,0.9,1.1,0.0189,-0.0126,0.05
42.3,1.4,1.1,0.0189,-0.0126,0.05
42.3,1.9,1.1,0.0189,-0.0126,0.05
42.3,2.4,1.1,0.0189,-0.0126,0.05
42.3,2.9,1.1,0.0189,-0.0126,0.05
42.3,3.4,1.1,0.0189,-0.0126,0.05
42.3,3.9,1.1,0.0189,-0.0126,0.05
42.3,4.4,1.1,0.0189,-0.0126,0.05
42.3,4.9,1.1,0.0189,-0.0126,0.05
42.3,5.4,1.1,0.0189,-0.0126,0.05
42.3,5.9,1.1,0.0189,-0.0126,0.05
42.3,6.4,1.1,0.0189,-0.0126,0.05
42.3,6.9,1.1,0.0189,-0.0126,0.05
42.3,7.4,1.1,0.0189,-0.0126,0.05
42.3,7.9,1.1,0.0189,-0.0126,0.05
42.3,8.4,1.1,0.0189,-0.0126,0.05
42.3,8.9,1.1,0.0189,-0.0126,0.05
42.3,9.4,1.1,0.0189,-0.0126,0.05
42.3,9.9,1.1,0.0189,-0.0126,0.05
42.8,-5.1,1.1,0.0189,-0.0126,0.05
42.8,-4.6,1.1,0.0189,-0.0126,0.05
42.8,-4.1,1.1,0.0189,-0.0126,0.05
42.8,-3.6,1.1,0.0189,-0.0126,0.05
42.8,-3.1,1.1,0.0189,-0.0126,0.05
42.8,-2.6,1.1,0.0189,-0.0126,0.05
42.8,-2.1,1.1,0.0189,-0.0126,0.05
42.8,-1.6,1.1,0.0189,-0.0126,0.05
42.8,-1.1,1.1,0.0189,-0.0126,0.05
42.8,-0.6,1.1,0.0189,-0.0126,0.05
42.8,-0.1,1.1,0.0189,-0.0126,0.05
42.8,0.4,1.1,0.0189,-0.0126,0.05
42.8,0.9,1.1,0.0189,-0.0126,0.05
42.8,1.4,1.1,0.0189,-0.0126,0.05
42.8,1.9,1.1,0.0189,-0.0126,0.05
42.8,2.4,1.1,0.0189,-0.0126,0.05
42.8,2.9,1.1,0.0189,-0.0126,0.05
42.8,3.4,1.1,0.0189,-0.0126,0.05
42.8,3.9,1.1,0.0189,-0.0126,0.05
42.8,4.4,1.1,0.0189,-0.0126,0.05
42.8,4.9,1.1,0.0189,-0.0126,0.05
42.8,5.4,1.1,0.0189,-0.0126,0.05
42.8,5.9,1.1,0.0189,-0.0126,0.05
42.8,6.4,1.1,0.0189,-0.0126,0.05
42.8,6.9,1.1,0.0189,-0.0126,0.05
42.8,7.4,1.1,0.0189,-0.0126,0.05
42.8,7.9,1.1,0.0189,-0.0126,0.05
42.8,8.4,1.1,0.0189,-0.0126,0.05
42.8,8.9,1.1,0.0189,-0.0126,0.05
42.8,9.4,1.1,0.0189,-0.0126,0.05
42.8,9.9,1.1,0.0189,-0.0126,0.05
43.3,-5.1,1.1,0.0189,-0.0126,0.05
43.3,-4.6,1.1,0.0189,-0.0126,0.05
43.3,-4.1,1.1,0.0189,-0.0126,0.05
43.3,-3.6,1.1,0.0189,-0.0126,0.05
43.3,-3.1,1.1,0.0189,-0.0126,0.05
43.3,-2.6,1.1,0.0189,-0.0126,0.05
43.3,-2.1,1.1,0.0189,-0.0126,0.05
43.3,-1.6,1.1,0.0189,-0.0126,0.05
43.3,-1.1,1.1,0.0189,-0.0126,0.05
43.3,-0.6,1.1,0.0189,-0.0126,0.05
43.3,-0.1,1.1,0.0189,-0.0126,0.05
43.3,0.4,1.1,0.0189,-0.0126,0.05
43.3,0.9,1.1,0.0189,-0.0126,0.05
43.3,1.4,1.1,0.0189,-0.0126,0.05
43.3,1.9,1.1,0.0189,-0.0126,0.05
43.3,2.4,1.1,0.0189,-0.0126,0.05
43.3,2.9,1.1,0.0189,-0.0126,0.05
43.3,3.4,1.1,0.0189,-0.0126,0.05
43.3,3.9,1.1,0.0189,-0.0126,0.05
43.3,4.4,1.1,0.0189,-0.0126,0.05
43.3,4.9,1.1,0.0189,-0.0126,0.05
43.3,5.4,1.1,0.0189,-0.0126,0.05
43.3,5.9,1.1,0.0189,-0.0126,0.05
43.3,6.4,1.1,0.0189,-0.0126,0.05
43.3,6.9,1.1,0.0189,-0.0126,0.05
43.3,7.4,1.1,0.0189,-0.0126,0.05
43.3,7.9,1.1,0.0189,-0.0126,0.05
43.3,8.4,1.1,0.0189,-0.0126,0.05
43.3,8.9,1.1,0.0189,-0.0126,0.05
43.3,9.4,1.1,0.0189,-0.0126,0.05
43.3,9.9,1.1,0.0189,-0.0126,0.05
43.8,-5.1,1.1,0.0189,-0.0126,0.05
43.8,-4.6,1.1,0.0189,-0.0126,0.05
43.8,-4.1,1.1,0.0189,-0.0126,0.05
43.8,-3.6,1.1,0.0189,-0.0126,0.05
43.8,-3.1,1.1,0.0189,-0.0126,0.05
43.8,-2.6,1.1,0.0189,-0.0126,0.05
43.8,-2.1,1.1,0.0189,-0.0126,0.05
43.8,-1.6,1.1,0.0189,-0.0126,0.05
43.8,-1.1,1.1,0.0189,-0.0126,0.05
43.8,-0.6,1.1,0.0189,-0.0126,0.05
43.8,-0.1,1.1,0.0189,-0.0126,0.05
43.8,0.4,1.1,0.0189,-0.0126,0.05
43.8,0.9,1.1,0.0189,-0.0126,0.05
43.8,1.4,1.1,0.0189,-0.0126,0.05
43.8,1.9,1.1,0.0189,-0.0126,0.05
43.8,2.4,1.1,0.0189,-0.0126,0.05
43.8,2.9,1.1,0.0189,-0.0126,0.05
43.8,3.4,1.1,0.0189,-0.0126,0.05
